eye_am_pyth0n@mac108:~$ ./mac108-project/term_monitor.py                               WARNING: 2.57.122.238 has 2 failed attempt(s), 0 accepted                              WARNING: 2.57.122.238 has 3 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 14 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 15 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 121 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 122 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 2 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 3 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 123 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 124 failed attempt(s), 0 accepted
WARNING: 92.118.39.236 has 2 failed attempt(s), 0 accepted
WARNING: 92.118.39.236 has 3 failed attempt(s), 0 accepted
WARNING: 92.118.39.236 has 4 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 125 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 126 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 2 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 3 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 4 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 4 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 5 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 5 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 6 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 6 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 7 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 8 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 7 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 8 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 9 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 10 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 11 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 12 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 13 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 127 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 14 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 15 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 16 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 17 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 18 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 19 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 20 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 21 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 22 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 23 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 24 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 25 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 26 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 27 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 28 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 29 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 30 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 128 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 31 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 32 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 33 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 34 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 35 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 36 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 2 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 37 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 3 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 4 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 38 failed attempt(s), 0 accepted
WARNING: 92.118.39.196 has 5 failed attempt(s), 0 accepted
