TenantId,SourceSystem,"TimeGenerated [UTC]",MG,Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,CollectorHostName,Type,"_ResourceId"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.016 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:13:57.000 PM",auth,mac108,info,"message repeated 3 times: [ Failed password for root from 45.148.10.157 port 28426 ssh2]",14748,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.599 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:00.000 PM",auth,mac108,info,"Failed password for root from 45.148.10.157 port 28426 ssh2",14748,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.871 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:00.000 PM",auth,mac108,info,"Connection reset by authenticating user root 45.148.10.157 port 28426 [preauth]",14748,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:19.833 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:19.000 PM",auth,mac108,info,"Failed password for root from 95.105.28.117 port 41674 ssh2",14743,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:25.965 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:25.000 PM",auth,mac108,info,"Connection closed by authenticating user root 95.105.28.117 port 41674 [preauth]",14743,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.017 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:00.000 PM",daemon,mac108,info,"2026-04-18T18:13:35.898#011HeartbeatSignal#011Mark",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.017 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:00.000 PM",daemon,mac108,info,"2026-04-18T18:14:00.016#011Info#011TID:126426070834112#011MetricsExtensionService#011MainLoop#011MetricsExtensionService.cpp(1083)#011EventsProcessedLastPeriod: 0",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.017 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:00.000 PM",daemon,mac108,info,"2026-04-18T18:14:00.016#011Info#011TID:126426070834112#011MetricsExtensionService#011MainLoop#011MetricsExtensionService.cpp(1126)#011Interning cache state. NextClearTimeUtc: 2026-04-18T18:18:35.787, VolatileCurrentSize: 3, VolatileCurrentSizeInBytes: 396, VolatileSecondarySize: 0, VolatileSecondarySizeInBytes: 0, StaticCacheSize: 47, StaticCacheSizeInBytes: 6116",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:05.907 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:05.000 PM",daemon,mac108,info,"2026-04-18T18:14:05.907#011Info#011TID:126426070834112#011MetricsExtensionService#011MainLoop#011MetricsExtensionService.cpp(1268)#011Diagnostic heartbeat emitted. CurrentRawDataQueueSize: 0, UptimeSec: 630, EtwEventsDropped: 0, EtwEventsLost: 0, AggregatedMetricsDropped: 0, IsNearingEtwQueueLimit: 0, IsNearingAggregationQueueLimit: 0, IsShuttingDown: false",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:35.858 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:35.000 PM",daemon,mac108,info,"2026-04-18T18:14:05.907#011HeartbeatSignal#011Mark",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
